Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S21_Magnitude,S21_Phase,S22_Magnitude,S22_Phase,
373124062,-7.678618265,-99.54210825,-47.35239165,-88.14935698,2.565480441,25.963147,-48.42012486,114.9545757,
376125062,-7.669167232,-100.2069374,-47.35492702,-90.34885982,2.53728234,24.78565982,-47.95463595,117.5420541,
379126063,-7.653117079,-100.8789652,-47.48453185,-89.9853356,2.513082598,23.59501126,-47.64306509,120.1795704,
382127063,-7.637916225,-101.5557122,-47.30698091,-92.06830202,2.48650868,22.3770172,-46.90823212,122.2882618,
385128064,-7.620869904,-102.1794287,-47.21703313,-93.52484987,2.462587764,21.21227968,-47.12412762,127.1702686,
388129064,-7.612861725,-102.8250927,-47.3580387,-94.53231589,2.438874996,20.03093418,-46.62178232,129.5028808,
391130065,-7.600264109,-103.4695877,-47.14378809,-93.31957422,2.410318667,18.88257963,-46.55442293,132.5017925,
394131065,-7.58918467,-104.1282601,-47.29381064,-94.34786663,2.387569282,17.76444655,-46.56813087,137.5422538,
397132066,-7.572836224,-104.7689505,-47.37034457,-93.86335394,2.356728754,16.62954692,-46.68345105,139.8315757,
400133066,-7.561622805,-105.4665592,-47.37380105,-96.99027621,2.326836988,15.51312196,-46.71685154,143.0337588,
403134067,-7.541699177,-106.1291838,-47.1239726,-98.0151753,2.296346358,14.34018376,-46.72762968,146.2254027,
406135067,-7.526381633,-106.8431047,-47.2760141,-98.27476726,2.265374017,13.20685891,-47.37853226,146.7633558,
409136068,-7.502397565,-107.5448763,-47.45845088,-97.99837574,2.238451118,11.99734353,-47.40660658,150.1398782,
412137068,-7.483317829,-108.1946219,-47.14463562,-100.5653086,2.210925079,10.81553116,-47.90295201,150.8716188,
415138069,-7.463406822,-108.783901,-47.30867264,-101.6136322,2.182935688,9.656980802,-48.78982063,151.6959567,
418139069,-7.453713915,-109.3784943,-47.0414026,-101.5765992,2.157633155,8.504363697,-48.91591721,152.1740832,
421140070,-7.442142991,-110.024815,-47.48613858,-103.9032141,2.132131509,7.294797239,-49.26525736,152.8427805,
424141070,-7.428049645,-110.6200048,-47.2370389,-102.4492994,2.108018041,6.090157459,-49.78381729,149.2919616,
427142071,-7.41190764,-111.2058434,-47.07783746,-104.2485351,2.085465548,4.913096383,-50.69255298,146.6779014,
430143071,-7.404205095,-111.8233216,-47.32488212,-103.5581627,2.063012906,3.766821506,-51.33867112,141.6556159,
433144072,-7.392754705,-112.386354,-47.15521214,-105.1478099,2.040616697,2.595965191,-51.63076754,134.9155849,
436145072,-7.386671418,-112.9519466,-47.07143722,-104.9001365,2.013627336,1.472660592,-51.53403118,124.2912599,
439146073,-7.381695879,-113.5486522,-46.99029448,-107.7770728,1.987440973,0.3186768247,-51.66380837,123.5650321,
442147073,-7.369913454,-114.1496786,-47.09284501,-106.4463853,1.962331206,-0.8094056229,-50.63743785,111.9678013,
445148074,-7.368834817,-114.7939202,-47.06827269,-108.1888546,1.933215431,-1.950737648,-50.54070464,106.741032,
448149074,-7.354764305,-115.4041041,-46.92402425,-109.4717818,1.90549114,-3.074658873,-49.6664577,103.5836766,
451150075,-7.339033027,-116.0323856,-46.74418373,-108.9908901,1.878956015,-4.251941283,-49.31321103,102.350259,
454151075,-7.334641811,-116.7122305,-47.06669684,-111.7262531,1.851149591,-5.372669285,-48.36610479,102.6297398,
457152076,-7.311412502,-117.3764033,-46.93162437,-111.1528688,1.82446373,-6.537895927,-48.00901736,101.8979866,
460153076,-7.293658165,-117.9819915,-47.14605189,-112.5013603,1.801113477,-7.668455025,-47.39565469,102.2224645,
463154077,-7.288233357,-118.5783559,-46.91146724,-114.056205,1.776659367,-8.839802756,-46.97123506,104.9970452,
466155077,-7.277546554,-119.1573662,-46.79200801,-113.6973116,1.753989769,-9.94760615,-46.51337644,105.4134434,
469156078,-7.262881964,-119.7325695,-46.68615464,-116.4305143,1.731244826,-11.0495641,-46.21349993,104.9216849,
472157078,-7.25002239,-120.2960328,-46.63574379,-114.9395709,1.708732525,-12.18903934,-45.57527937,108.1576278,
475158079,-7.241989667,-120.8562006,-46.79218914,-115.4759589,1.685581498,-13.26830777,-45.27868522,109.1558996,
478159079,-7.235288171,-121.4870319,-46.72362445,-118.1493713,1.659630003,-14.36982456,-44.92116309,110.8549617,
481160080,-7.229616912,-122.065353,-47.0052343,-117.6600844,1.633596877,-15.44530802,-44.41737289,114.1526793,
484161080,-7.220220851,-122.6478633,-46.62350828,-116.941955,1.609974583,-16.5400102,-44.25127702,115.9566618,
487162081,-7.212094526,-123.267245,-46.77059201,-119.5872821,1.582678354,-17.65591925,-44.13801468,120.9953749,
490163081,-7.203389735,-123.8481779,-46.62658572,-119.8723276,1.5544295,-18.75301426,-44.03600558,124.6830074,
493164082,-7.190243588,-124.4587441,-46.94300111,-121.5904621,1.529643506,-19.91748056,-43.9313317,126.7282824,
496165082,-7.178119819,-125.0980751,-46.74997532,-123.4071249,1.504121597,-21.00945071,-43.91310943,131.7545661,
499166083,-7.16594503,-125.7718168,-46.64072292,-123.8833171,1.473542835,-22.16209877,-43.90743495,132.1679675,
502167083,-7.140960897,-126.4351708,-46.71963698,-124.2839003,1.455506216,-23.30854873,-44.23491952,136.0385903,
505168084,-7.125405063,-127.1291972,-47.01351717,-123.7390961,1.433674002,-24.46830218,-44.23223161,140.2729403,
508169084,-7.111492776,-127.7468325,-46.72656756,-125.9392766,1.40885212,-25.59041703,-44.2999816,142.5580455,
511170085,-7.099254959,-128.348904,-46.78612512,-126.1041547,1.386028318,-26.73412116,-44.86220981,145.5099313,
514171085,-7.092483509,-128.9190944,-46.59756395,-128.5120709,1.36252987,-27.85338061,-45.3213846,149.087777,
517172086,-7.082175784,-129.4846614,-46.75866364,-128.9324742,1.341840644,-28.96227892,-45.89575255,150.0195394,
520173086,-7.079158812,-130.0650882,-46.92446406,-128.324612,1.316891255,-30.07426575,-46.34311831,150.7815655,
523174087,-7.075861197,-130.5960607,-46.87616876,-129.3600575,1.2952548,-31.21433,-47.1982242,153.7421776,
526175087,-7.074333747,-131.1492536,-46.61191332,-130.4989012,1.266537452,-32.30907148,-48.04518377,151.5458716,
529176088,-7.068988987,-131.6892063,-47.02802404,-131.757823,1.243246948,-33.41965225,-48.70906639,152.0738001,
532177088,-7.067133157,-132.2078164,-47.00124728,-130.4749332,1.221231721,-34.54376379,-49.60787411,149.2987228,
535178089,-7.063911274,-132.8009528,-46.98646909,-131.5980429,1.194774762,-35.65294892,-50.57507402,145.0167964,
538179089,-7.05974877,-133.3888509,-46.58141521,-134.2122358,1.174346732,-36.81766798,-51.13694191,140.1312421,
541180090,-7.055271353,-133.9250857,-46.61486121,-134.5368453,1.150171679,-37.94561863,-51.57136364,135.2985368,
544181090,-7.04818691,-134.4880347,-46.48524934,-134.1700963,1.125449955,-39.10370693,-51.74024225,124.7380356,
547182091,-7.039304394,-135.0488018,-46.31979461,-136.1289075,1.110060716,-40.24972038,-51.45738885,117.2892243,
550183091,-7.029207324,-135.6792287,-46.53020804,-135.6383296,1.088405993,-41.38481734,-50.894341,110.7763609,
553184092,-7.017385901,-136.2462909,-46.56170925,-135.5093418,1.071675392,-42.55166808,-50.27441076,105.1653746,
556185092,-7.002802546,-136.8126635,-46.47929818,-136.8377034,1.051525855,-43.66119533,-49.61835439,101.6242621,
559186093,-7.000078675,-137.2767038,-46.3949288,-139.9760004,1.032470388,-44.75659224,-48.74392488,102.8741708,
562187093,-6.992265441,-137.7622326,-46.55440825,-140.9267247,1.012968,-45.82441872,-47.90787354,101.7179898,
565188094,-6.993909932,-138.2581748,-46.14221727,-139.9906845,0.9897332925,-46.90107609,-47.25102242,101.2705171,
568189094,-6.992469065,-138.7111339,-46.34348006,-141.3918432,0.9673225504,-47.98571923,-46.92457051,102.9967363,
571190095,-6.989879576,-139.2293442,-46.53796919,-141.287634,0.941187507,-49.04815879,-46.43163754,102.2804876,
574191095,-6.991300151,-139.6935439,-46.44130563,-141.9560251,0.9208973391,-50.10499339,-45.63674759,103.1798261,
577192096,-6.988022993,-140.1985237,-46.22375554,-144.2796053,0.8967821502,-51.21606276,-45.06133296,105.1129023,
580193096,-6.991039601,-140.7212802,-46.3153168,-145.8552389,0.870871052,-52.35897976,-44.52003647,106.578851,
583194097,-6.995364614,-141.2491623,-46.10072652,-145.1297779,0.8496525169,-53.48030742,-44.11418806,111.1082661,
586195097,-6.995689032,-141.8172191,-46.03609879,-147.3153453,0.8237879008,-54.58716823,-43.66578317,114.1638614,
589196098,-6.992781494,-142.3793528,-46.02590821,-147.951971,0.8058567552,-55.70096369,-43.4317445,118.1008266,
592197098,-6.983893819,-142.9449725,-46.16397788,-147.8973601,0.7824954872,-56.8374399,-43.16191503,123.0321365,
595198099,-6.977158479,-143.5309097,-46.19454036,-148.6762189,0.7645920291,-57.96442592,-43.03974437,127.0606403,
598199099,-6.968881684,-144.1427805,-46.17791975,-150.273509,0.7457566255,-59.05960068,-42.86249717,130.7428298,
601200100,-6.961241402,-144.7171239,-46.21178871,-151.6772248,0.723908594,-60.1588479,-42.98872628,134.4149756,
604201100,-6.951309326,-145.1982495,-46.16388878,-152.8661045,0.699861707,-61.2474913,-43.13142589,138.193734,
607202101,-6.949437198,-145.7206768,-46.22563833,-153.7370011,0.6762970738,-62.30557439,-43.33340503,142.8808187,
610203101,-6.952950935,-146.1893139,-46.3260269,-153.5043668,0.6481685471,-63.39449997,-43.49067083,147.3535482,
